NumOfEventsInJourney,NumSessions,interactionTime,maxPrice,minPrice,NumCart,NumView,InsessionCart,InsessionView,year,month,weekday,timeOfDay,Weekend,Purchase
1,1,0,50.63,50.63,0,0,0,0,2019,11,7,2,0,1
1,1,0,126,126,0,1,0,1,2019,11,5,1,0,0
1,1,0,334.6,334.6,0,1,0,1,2019,11,2,1,0,0
1,1,0,43.24,43.24,0,1,0,1,2019,11,3,5,0,0
1,1,0,421.38,421.38,0,1,0,2,2019,11,7,2,0,0
1,1,0,58.62,58.62,0,1,0,1,2019,11,7,5,0,0
1,1,0,43.15,43.15,0,1,0,1,2019,11,4,1,0,0
1,1,0,27.17,27.17,0,1,0,2,2019,11,4,2,0,0
1,1,0,154.19,154.19,1,0,1,0,2019,11,5,6,0,0
1,1,0,187.37,187.37,0,1,0,1,2019,11,2,5,0,0
1,1,0,41.16,41.16,0,1,0,32,2019,11,2,3,0,0
1,1,0,270.99,270.99,0,1,0,1,2019,11,2,1,0,0
1,1,0,13.13,13.13,0,1,0,2,2019,11,4,5,0,0
1,1,0,45.02,45.02,0,1,0,1,2019,11,6,5,0,0
1,1,0,268.99,268.99,0,1,0,1,2019,11,6,2,0,0
1,1,0,41.7,41.7,0,1,0,1,2019,11,6,5,0,0
1,1,0,76.94,76.94,0,1,0,1,2019,11,2,1,0,0
1,1,0,141.26,141.26,0,1,0,1,2019,11,2,5,0,0
1,1,0,25.46,25.46,0,1,0,1,2019,11,6,5,0,0
1,1,0,64.35,64.35,0,1,0,1,2019,11,3,2,0,0
1,1,0,205.9,205.9,0,1,0,1,2019,11,3,5,0,0
1,1,0,21.36,21.36,0,1,0,1,2019,11,6,3,0,0
1,1,0,79.02,79.02,0,1,0,1,2019,11,5,1,0,0
1,1,0,246.96,246.96,0,1,0,1,2019,11,1,5,0,0
1,1,0,92.41,92.41,0,1,0,1,2019,11,3,2,0,0
1,1,0,565.78,565.78,0,1,0,1,2019,11,2,5,0,0
1,1,0,104.25,104.25,0,1,0,1,2019,11,3,5,0,0
1,1,0,630.62,630.62,0,1,0,1,2019,11,7,4,0,0
1,1,0,259.59,259.59,0,1,0,1,2019,11,3,3,0,0
1,1,0,185.33,185.33,1,0,1,0,2019,11,1,5,0,0
1,1,0,85.43,85.43,0,1,0,2,2019,11,7,2,0,0
1,1,0,244.28,244.28,0,1,0,1,2019,11,4,5,0,0
2,1,17,136.37,136.37,0,2,0,3,2019,11,6,5,0,0
1,1,0,92.41,92.41,0,1,0,1,2019,11,2,3,0,0
1,1,0,72.07,72.07,0,1,0,2,2019,11,4,3,0,0
1,1,0,82.11,82.11,0,1,0,2,2019,11,7,2,0,0
1,1,0,42.99,42.99,0,1,0,1,2019,11,4,2,0,0
1,1,0,778.37,778.37,0,1,0,1,2019,11,2,5,0,0
1,1,0,58.02,58.02,0,1,0,1,2019,11,2,2,0,0
1,1,0,1749.85,1749.85,0,1,0,1,2019,11,6,2,0,0
1,1,0,849.42,849.42,0,1,0,1,2019,11,5,2,0,0
1,1,0,27,27,0,1,0,1,2019,11,7,5,0,0
1,1,0,1337.1,1337.1,0,1,0,2,2019,11,7,6,0,0
1,1,0,260.18,260.18,0,1,0,1,2019,11,3,3,0,0
2,2,143886,89.22,89.22,0,2,0,1,2019,11,7,2,0,0
1,1,0,566.27,566.27,0,1,0,1,2019,11,3,1,0,0
1,1,0,154.42,154.42,0,1,0,1,2019,11,3,1,0,0
1,1,0,290.98,290.98,0,1,0,1,2019,11,5,6,0,0
1,1,0,56.45,56.45,0,1,0,1,2019,11,7,5,0,0
1,1,0,40.49,40.49,0,1,0,1,2019,11,5,6,0,0
1,1,0,159.59,159.59,0,1,0,1,2019,11,6,1,0,0
1,1,0,25.66,25.66,0,1,0,1,2019,11,7,5,0,0
1,1,0,8.93,8.93,0,1,0,1,2019,11,4,5,0,0
1,1,0,149.27,149.27,0,1,0,2,2019,11,5,5,0,0
1,1,0,371.94,371.94,0,1,0,1,2019,11,7,5,0,0
1,1,0,9.14,9.14,0,1,0,1,2019,11,3,6,0,0
1,1,0,31.15,31.15,0,1,0,1,2019,11,4,6,0,0
1,1,0,397.41,397.41,0,1,0,1,2019,11,7,6,0,0
1,1,0,1013.41,1013.41,0,1,0,2,2019,11,6,6,0,0
1,1,0,65.61,65.61,0,1,0,1,2019,11,7,2,0,0
1,1,0,126.9,126.9,0,1,0,1,2019,11,2,3,0,0
1,1,0,126.1,126.1,0,1,0,1,2019,11,7,5,0,0
1,1,0,108.11,108.11,0,1,0,1,2019,11,5,6,0,0
1,1,0,952.15,952.15,0,1,0,1,2019,11,2,6,0,0
1,1,0,93.73,93.73,0,1,0,2,2019,11,5,3,0,0
1,1,0,153.11,153.11,1,0,1,0,2019,11,7,5,0,0
1,1,0,62.81,62.81,0,1,0,2,2019,11,5,5,0,0
1,1,0,696.88,696.88,0,1,0,1,2019,11,7,2,0,0
1,1,0,727.68,727.68,0,1,0,1,2019,11,2,3,0,0
1,1,0,33.18,33.18,0,1,0,1,2019,11,3,5,0,0
1,1,0,161.63,161.63,0,1,0,1,2019,11,5,2,0,0
2,1,205,690.39,690.39,0,2,0,2,2019,11,5,3,0,0
1,1,0,32.18,32.18,0,1,0,1,2019,11,1,2,0,0
1,1,0,75.42,75.42,0,1,0,1,2019,11,5,2,0,0
1,1,0,849.19,849.19,0,1,0,1,2019,11,7,3,0,0
